Volume,Adj Close,,,,,,,,,,,,,,,CNY,"A,B"
4100,40.9,,,,,,,,,,,,,,,,
12600,40.7,,,,,,,,,,,,,,,,
12800,40.76,,,,,,,,,,,,,,,,
2000,40.83,,,,,,,,,,,,,,,,
3600,41.01,,,,,,,,,,,,,,,,
27200,40.97,,,,,,,,,,,,,,,,
3300,40.95,,,,,,,,,,,,,,,,
9300,40.9,,,,,,,,,,,,,,,,
5400,41.02,,,,,,,,,,,,,,,,
1200,41.11,,,,,,,,,,,,,,,,
5000,41.14,,,,,,,,,,,,,,,,
1700,41.17,,,,,,,,,,,,,,,,
32100,41.06,,,,,,,,,,,,,,,,
5900,41.11,,,,,,,,,,,,,,,,
3800,41.14,,,,,,,,,,,,,,,,
2100,41.1,,,,,,,,,,,,,,,,
5300,41.22,,,,,,,,,,,,,,,,
9200,41.24,,,,,,,,,,,,,,,,
1200,41.06,,,,,,,,,,,,,,,,
9700,41.06,,,,,,,,,,,,,,,,
5500,41.25,,,,,,,,,,,,,,,,
3500,41.1,,,,,,,,,,,,,,,,
1200,41.15,,,,,,,,,,,,,,,,
1100,41.1,,,,,,,,,,,,,,,,
2800,41.2,,,,,,,,,,,,,,,,
3100,41.34,,,,,,,,,,,,,,,,
4500,41.07,,,,,,,,,,,,,,,,
5100,41.2,,,,,,,,,,,,,,,,
6800,41.21,,,,,,,,,,,,,,,,
3200,41.06,,,,,,,,,,,,,,,,
8100,41.19,,,,,,,,,,,,,,,,
1600,41.16,,,,,,,,,,,,,,,,
6900,41.14,,,,,,,,,,,,,,,,
7100,41.07,,,,,,,,,,,,,,,,
8000,41.05,,,,,,,,,,,,,,,,
7600,41.11,,,,,,,,,,,,,,,,
4400,41.19,,,,,,,,,,,,,,,,
17300,41.13,,,,,,,,,,,,,,,,
3600,41.12,,,,,,,,,,,,,,,,
9100,41.17,,,,,,,,,,,,,,,,
6300,41.03,,,,,,,,,,,,,,,,
8900,41,,,,,,,,,,,,,,,,
7900,40.84,,,,,,,,,,,,,,,,
7000,40.92,,,,,,,,,,,,,,,,
6400,40.93,,,,,,,,,,,,,,,,
6200,40.92,,,,,,,,,,,,,,,,
22100,41.15,,,,,,,,,,,,,,,,
7600,41.01,,,,,,,,,,,,,,,,
7100,41.01,,,,,,,,,,,,,,,,
2600,41.04,,,,,,,,,,,,,,,,
6400,41.05,,,,,,,,,,,,,,,,
3200,40.95,,,,,,,,,,,,,,,,
5400,40.94,,,,,,,,,,,,,,,,
5000,40.89,,,,,,,,,,,,,,,,
5000,40.91,,,,,,,,,,,,,,,,
3000,40.87,,,,,,,,,,,,,,,,
3400,40.64,,,,,,,,,,,,,,,,
21000,40.9,,,,,,,,,,,,,,,,
7600,40.79,,,,,,,,,,,,,,,,
18500,40.57,,,,,,,,,,,,,,,,
5300,40.52,,,,,,,,,,,,,,,,
36500,40.65,,,,,,,,,,,,,,,,
12300,40.51,,,,,,,,,,,,,,,,
6200,40.5,,,,,,,,,,,,,,,,
9900,40.65,,,,,,,,,,,,,,,,
10800,40.65,,,,,,,,,,,,,,,,
11300,40.67,,,,,,,,,,,,,,,,
4600,40.75,,,,,,,,,,,,,,,,
900,40.66,,,,,,,,,,,,,,,,
3400,40.8,,,,,,,,,,,,,,,,
5500,40.81,,,,,,,,,,,,,,,,
6000,40.76,,,,,,,,,,,,,,,,
11100,40.61,,,,,,,,,,,,,,,,
8400,40.68,,,,,,,,,,,,,,,,
26800,40.56,,,,,,,,,,,,,,,,
4800,40.65,,,,,,,,,,,,,,,,
23400,40.76,,,,,,,,,,,,,,,,
35900,40.67,,,,,,,,,,,,,,,,
4400,40.72,,,,,,,,,,,,,,,,
600,40.75,,,,,,,,,,,,,,,,
12800,40.82,,,,,,,,,,,,,,,,
6200,40.75,,,,,,,,,,,,,,,,
55700,40.75,,,,,,,,,,,,,,,,
36800,40.88,,,,,,,,,,,,,,,,
1200,40.89,,,,,,,,,,,,,,,,
1100,40.89,,,,,,,,,,,,,,,,
5500,41.04,,,,,,,,,,,,,,,,
21400,40.95,,,,,,,,,,,,,,,,
5100,40.82,,,,,,,,,,,,,,,,
4500,40.83,,,,,,,,,,,,,,,,
2500,40.73,,,,,,,,,,,,,,,,
7600,40.79,,,,,,,,,,,,,,,,
5900,40.71,,,,,,,,,,,,,,,,
10300,40.68,,,,,,,,,,,,,,,,
13800,40.83,,,,,,,,,,,,,,,,
8400,40.67,,,,,,,,,,,,,,,,
21100,40.65,,,,,,,,,,,,,,,,
7900,40.65,,,,,,,,,,,,,,,,
15900,40.47,,,,,,,,,,,,,,,,
5100,40.53,,,,,,,,,,,,,,,,
3400,40.53,,,,,,,,,,,,,,,,
9800,40.53,,,,,,,,,,,,,,,,
3300,40.46,,,,,,,,,,,,,,,,
26500,40.66,,,,,,,,,,,,,,,,
23000,40.46,,,,,,,,,,,,,,,,
3300,40.56,,,,,,,,,,,,,,,,
4000,40.7,,,,,,,,,,,,,,,,
10200,40.61,,,,,,,,,,,,,,,,
20800,40.79,,,,,,,,,,,,,,,,
4500,40.55,,,,,,,,,,,,,,,,
3600,40.59,,,,,,,,,,,,,,,,
8200,40.58,,,,,,,,,,,,,,,,
39400,40.53,,,,,,,,,,,,,,,,
17300,40.59,,,,,,,,,,,,,,,,
16300,40.58,,,,,,,,,,,,,,,,
5600,40.36,,,,,,,,,,,,,,,,
57000,40.68,,,,,,,,,,,,,,,,
59600,40.66,,,,,,,,,,,,,,,,
35300,40.6,,,,,,,,,,,,,,,,
29200,40.5,,,,,,,,,,,,,,,,
47500,40.38,,,,,,,,,,,,,,,,
4400,40.64,,,,,,,,,,,,,,,,
6600,40.6,,,,,,,,,,,,,,,,
5600,40.57,,,,,,,,,,,,,,,,
4500,40.67,,,,,,,,,,,,,,,,
5200,40.63,,,,,,,,,,,,,,,,
2300,40.49,,,,,,,,,,,,,,,,
7200,40.49,,,,,,,,,,,,,,,,
7100,40.7,,,,,,,,,,,,,,,,
5200,40.67,,,,,,,,,,,,,,,,
1500,40.7,,,,,,,,,,,,,,,,
4200,40.65,,,,,,,,,,,,,,,,
49500,40.64,,,,,,,,,,,,,,,,
700,40.7,,,,,,,,,,,,,,,,
3000,40.73,,,,,,,,,,,,,,,,
6700,40.78,,,,,,,,,,,,,,,,
13300,40.77,,,,,,,,,,,,,,,,
18300,40.79,,,,,,,,,,,,,,,,
2000,40.71,,,,,,,,,,,,,,,,
2800,40.66,,,,,,,,,,,,,,,,
4500,40.68,,,,,,,,,,,,,,,,
12800,40.67,,,,,,,,,,,,,,,,
16100,40.73,,,,,,,,,,,,,,,,
11900,40.61,,,,,,,,,,,,,,,,
